strategy_id,scope,hkt_date,trades,resolved,wins,losses,win_rate,pnl,avg_entry_price
aws-spot-consensus-01,total,,105,105,78,27,0.7428571428571429,1148.581642480333,0.6571428571428571
aws-spot-consensus-01,day,2026-05-25,23,23,15,8,0.6521739130434783,8.958155417625647,0.6513043478260869
aws-spot-consensus-01,day,2026-05-26,53,53,40,13,0.7547169811320755,664.7222492452905,0.6545283018867925
aws-spot-consensus-01,day,2026-05-27,29,29,23,6,0.7931034482758621,474.9012378174167,0.666551724137931
